"Time","Allocated Memory"
06:33:57,128
06:34:22,128
06:34:57,128
06:35:57,128
06:36:50,256
06:37:13,384
06:37:29,512
06:37:42,640
06:37:52,768
06:38:01,896
06:38:09,1024
06:38:16,1152
06:38:22,1280
06:38:27,1408
06:38:32,1536
06:38:38,1664
06:38:42,1792
06:38:46,1920
06:38:50,2048
06:38:54,2176
06:38:58,2304
06:39:11,1792
06:40:11,1792
06:41:11,1792
06:42:11,1792
06:43:11,1792
06:43:43,1792
